city,latitude,longitude,country,iso2,state,formerState
Faridabad,28.411236,77.313162,India,IN,Haryana,Haryana
Firozabad,27.150917,78.397808,India,IN,Uttar Pradesh,Uttar Pradesh
Fyzabad,26.775486,82.150182,India,IN,Uttar Pradesh,Uttar Pradesh
Gangtok,27.325739,88.612155,India,IN,Sikkim,Sikkim
Gaya,24.796858,85.003852,India,IN,Bihar,Bihar
Ghandinagar,23.216667,72.683333,India,IN,Gujarat,Gujarat
Ghaziabad,28.665353,77.439148,India,IN,Uttar Pradesh,Uttar Pradesh
Gopalpur,26.735389,83.38064,India,IN,Uttar Pradesh,Uttar Pradesh
Gulbarga,17.335827,76.83757,India,IN,Karnataka,Karnataka
Guntur,16.299737,80.457293,India,IN,Andhra Pradesh,Andhra Pradesh
Gurugram,28.460105,77.026352,India,IN,Haryana,Haryana
Guwahati,26.176076,91.762932,India,IN,Assam,Assam
Gwalior,26.229825,78.173369,India,IN,Madhya Pradesh,Madhya Pradesh
Haldia,22.025278,88.058333,India,IN,West Bengal,West Bengal
Haora,22.576882,88.318566,India,IN,West Bengal,West Bengal
Hapur,28.729845,77.780681,India,IN,Uttar Pradesh,Uttar Pradesh
Haripur,31.463218,75.986418,India,IN,Punjab,Punjab
Hata,27.592698,78.013843,India,IN,Uttar Pradesh,Uttar Pradesh
Hindupur,13.828065,77.491425,India,IN,Andhra Pradesh,Andhra Pradesh
Hisar,29.153938,75.722944,India,IN,Haryana,Haryana
Hospet,15.269537,76.387103,India,IN,Karnataka,Karnataka
Hubli,15.349955,75.138619,India,IN,Karnataka,Karnataka
Hyderabad,17.384052,78.456355,India,IN,Telangana,Telangana
Imphal,24.808053,93.944203,India,IN,Manipur,Manipur
Indore,22.717736,75.85859,India,IN,Madhya Pradesh,Madhya Pradesh
Itanagar,27.102349,93.692047,India,IN,Arunachal Pradesh,Arunachal Pradesh
Jabalpur,23.174495,79.935903,India,IN,Madhya Pradesh,Madhya Pradesh
Jaipur,26.913312,75.787872,India,IN,Rajasthan,Rajasthan
Jammu,32.735686,74.869112,India,IN,Jammu and Kashmir,Jammu and Kashmir
Jamshedpur,22.802776,86.185448,India,IN,Jharkhand,Jharkhand
Jhansi,25.458872,78.579943,India,IN,Uttar Pradesh,Uttar Pradesh
Jodhpur,26.26841,73.005943,India,IN,Rajasthan,Rajasthan
Jorhat,26.757509,94.203055,India,IN,Assam,Assam
Kagaznagar,19.331589,79.466051,India,IN,Andhra Pradesh,Andhra Pradesh
Kakinada,16.960361,82.238086,India,IN,Andhra Pradesh,Andhra Pradesh
Kalyan,19.243703,73.135537,India,IN,Maharashtra,Maharashtra
Karimnagar,18.436738,79.13222,India,IN,Telangana,Telangana
Karnal,29.691971,76.984483,India,IN,Haryana,Haryana
Karur,10.960277,78.076753,India,IN,Tamil Nadu,Tamil Nadu
Kavaratti,10.566667,72.616667,India,IN,Lakshadweep,Lakshadweep
Khammam,17.247672,80.143682,India,IN,Telangana,Telangana
Khanapur,21.273716,76.117376,India,IN,Maharashtra,Maharashtra
Kochi,9.947743,76.253802,India,IN,Kerala,Kerala
Kohima,25.674673,94.110988,India,IN,Nagaland,Nagaland
Kolar,13.137679,78.129989,India,IN,Karnataka,Karnataka
Kolhapur,16.695633,74.231669,India,IN,Maharashtra,Maharashtra
Kolkata,22.562627,88.363044,India,IN,West Bengal,West Bengal
Kollam,8.881131,76.584694,India,IN,Kerala,Kerala
Kota,25.182544,75.839065,India,IN,Rajasthan,Rajasthan
Krishnanagar,23.405761,88.490733,India,IN,West Bengal,West Bengal
Krishnapuram,12.869617,79.719469,India,IN,Tamil Nadu,Tamil Nadu
Kumbakonam,10.959789,79.377472,India,IN,Tamil Nadu,Tamil Nadu
Kurnool,15.828865,78.036021,India,IN,Andhra Pradesh,Andhra Pradesh
Latur,18.399487,76.584252,India,IN,Maharashtra,Maharashtra
Lucknow,26.839281,80.923133,India,IN,Uttar Pradesh,Uttar Pradesh
Ludhiana,30.912042,75.853789,India,IN,Punjab,Punjab
Machilipatnam,16.187466,81.13888,India,IN,Andhra Pradesh,Andhra Pradesh
Madurai,9.917347,78.119622,India,IN,Tamil Nadu,Tamil Nadu
Mahabubnagar,16.75,78,India,IN,Telangana,Telangana
Malegaon Camp,20.569974,74.515415,India,IN,Maharashtra,Maharashtra
Mangalore,12.865371,74.842432,India,IN,Karnataka,Karnataka
Mathura,27.503501,77.672145,India,IN,Uttar Pradesh,Uttar Pradesh
Meerut,28.980018,77.706356,India,IN,Uttar Pradesh,Uttar Pradesh
Mirzapur,25.144902,82.565335,India,IN,Uttar Pradesh,Uttar Pradesh
Moradabad,28.838931,78.776838,India,IN,Uttar Pradesh,Uttar Pradesh
Mumbai,18.987807,72.836447,India,IN,Maharashtra,Maharashtra
Muzaffarnagar,29.470914,77.703324,India,IN,Uttar Pradesh,Uttar Pradesh
Muzaffarpur,26.122593,85.390553,India,IN,Bihar,Bihar
Mysore,12.292664,76.638543,India,IN,Karnataka,Karnataka
Nagercoil,8.177313,77.43437,India,IN,Tamil Nadu,Tamil Nadu
Nalgonda,17.05,79.27,India,IN,Telangana,Telangana
Nanded,19.160227,77.314971,India,IN,Maharashtra,Maharashtra
Nandyal,15.477994,78.483605,India,IN,Andhra Pradesh,Andhra Pradesh
Nasik,19.999963,73.776887,India,IN,Maharashtra,Maharashtra
Navsari,20.85,72.916667,India,IN,Gujarat,Gujarat
Nellore,14.449918,79.986967,India,IN,Andhra Pradesh,Andhra Pradesh
New Delhi,28.6,77.2,India,IN,Delhi,Delhi
Nizamabad,18.673151,78.10008,India,IN,Telangana,Telangana
Ongole,15.503565,80.044541,India,IN,Andhra Pradesh,Andhra Pradesh
Pali,25.775125,73.320611,India,IN,Rajasthan,Rajasthan
Panaji,15.498289,73.824541,India,IN,Goa,Goa
Panchkula,30.691512,76.853736,India,IN,Haryana,Haryana
Panipat,29.387471,76.968246,India,IN,Haryana,Haryana
Parbhani,19.268553,76.770807,India,IN,Maharashtra,Maharashtra
Pathankot,32.274842,75.652865,India,IN,Punjab,Punjab
Patiala,30.336245,76.392199,India,IN,Punjab,Punjab
Patna,25.615379,85.101027,India,IN,Bihar,Bihar
Pilibhit,28.631245,79.804362,India,IN,Uttar Pradesh,Uttar Pradesh
Porbandar,21.641346,69.600868,India,IN,Gujarat,Gujarat
Port Blair,11.666667,92.75,India,IN,Andaman and Nicobar Islands,Andaman and Nicobar Islands
Proddatur,14.7502,78.548129,India,IN,Andhra Pradesh,Andhra Pradesh
Puducherry,11.933812,79.829792,India,IN,Puducherry,Puducherry
Pune,18.513271,73.849852,India,IN,Maharashtra,Maharashtra
Puri,19.798254,85.824938,India,IN,Odisha,Odisha
Purnea,25.776703,87.473655,India,IN,Bihar,Bihar
Raichur,16.205459,77.35567,India,IN,Karnataka,Karnataka
Raipur,21.233333,81.633333,India,IN,Chhattisgarh,Chhattisgarh
Rajahmundry,17.005171,81.777839,India,IN,Andhra Pradesh,Andhra Pradesh
Rajapalaiyam,9.451111,77.556121,India,IN,Tamil Nadu,Tamil Nadu
Rajkot,22.291606,70.793217,India,IN,Gujarat,Gujarat
Ramagundam,18.45,79.28,India,IN,Telangana,Telangana
Rampura,26.884682,75.789336,India,IN,Rajasthan,Rajasthan
Ranchi,23.347768,85.338564,India,IN,Jharkhand,Jharkhand
Ratlam,23.330331,75.040315,India,IN,Madhya Pradesh,Madhya Pradesh
Raurkela,22.224964,84.864143,India,IN,Odisha,Odisha
Rohtak,28.894473,76.589166,India,IN,Haryana,Haryana
Saharanpur,29.967896,77.545221,India,IN,Uttar Pradesh,Uttar Pradesh
Saidapur,27.598784,80.75089,India,IN,Uttar Pradesh,Uttar Pradesh
Saidpur,34.318174,74.457093,India,IN,Jammu and Kashmir,Jammu and Kashmir
Salem,11.651165,78.158672,India,IN,Tamil Nadu,Tamil Nadu
Samlaipadar,21.478072,83.990505,India,IN,Odisha,Odisha
Sangli,16.856777,74.569196,India,IN,Maharashtra,Maharashtra
Saugor,23.838766,78.738738,India,IN,Madhya Pradesh,Madhya Pradesh
Shahbazpur,27.874116,79.879327,India,IN,Uttar Pradesh,Uttar Pradesh
Shiliguri,26.710035,88.428512,India,IN,West Bengal,West Bengal
Shillong,25.573987,91.896807,India,IN,Meghalaya,Meghalaya
Shimla,31.104423,77.166623,India,IN,Himachal Pradesh,Himachal Pradesh
Shimoga,13.932424,75.572555,India,IN,Karnataka,Karnataka
Sikar,27.614778,75.138671,India,IN,Rajasthan,Rajasthan
Silchar,24.827327,92.797868,India,IN,Assam,Assam
Silvassa,20.273855,72.996728,India,IN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli
Sirsa,29.534893,75.028981,India,IN,Haryana,Haryana
Sonipat,28.994778,77.019375,India,IN,Haryana,Haryana
Srinagar,34.085652,74.805553,India,IN,Jammu and Kashmir,Jammu and Kashmir
Surat,21.195944,72.830232,India,IN,Gujarat,Gujarat
Tezpur,26.633333,92.8,India,IN,Assam,Assam
Thanjavur,10.785233,79.139093,India,IN,Tamil Nadu,Tamil Nadu
Tharati Etawah,26.758236,79.014875,India,IN,Uttar Pradesh,Uttar Pradesh
Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,Kerala
Tiruchchirappalli,10.815499,78.696513,India,IN,Tamil Nadu,Tamil Nadu
Tirunelveli,8.725181,77.684519,India,IN,Tamil Nadu,Tamil Nadu
Tirupati,13.635505,79.419888,India,IN,Andhra Pradesh,Andhra Pradesh
Tiruvannamalai,12.230204,79.072954,India,IN,Tamil Nadu,Tamil Nadu
Tonk,26.168672,75.786111,India,IN,Rajasthan,Rajasthan
Tuticorin,8.805038,78.151884,India,IN,Tamil Nadu,Tamil Nadu
Udaipur,24.57951,73.690508,India,IN,Rajasthan,Rajasthan
Ujjain,23.182387,75.776433,India,IN,Madhya Pradesh,Madhya Pradesh
Vadodara,22.299405,73.208119,India,IN,Gujarat,Gujarat
Valparai,10.325163,76.955299,India,IN,Tamil Nadu,Tamil Nadu
Varanasi,25.31774,83.005811,India,IN,Uttar Pradesh,Uttar Pradesh
Vellore,12.905769,79.137104,India,IN,Tamil Nadu,Tamil Nadu
Vishakhapatnam,17.704052,83.297663,India,IN,Andhra Pradesh,Andhra Pradesh
Vizianagaram,18.11329,83.397743,India,IN,Andhra Pradesh,Andhra Pradesh
Warangal,17.978423,79.600209,India,IN,Telangana,Telangana
Jorapokhar,23.7,86.41267,India,IN,Jharkhand,Jharkhand
Brajrajnagar,21.82,83.92,India,IN,Odisha,Odisha
Talcher,20.95,85.23,India,IN,Odisha,Odisha
